CRASH DATE,CRASH TIME,CRASH_DATETIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,COLLISION_ID,UNIQUE_ID,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,COMPLAINT,PED_ROLE,PERSON_SEX,YEAR,INJURY_TYPE
2021-12-14,03:43:00,2021-12-14 03:43:00,NONE,,40.804375,-73.93742,"(40.804375, -73.93742)",LEXINGTON AVENUE,,1.0,0.0,1,0,0,0,0,0,UNSPECIFIED,,STATION WAGON/SPORT UTILITY VEHICLE,,4486304,12059045,90580DC8-DFC2-40AD-AC34-BC100BD1D950,OCCUPANT,UNSPECIFIED,20125878.0,29.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-12-08,16:20:00,2021-12-08 16:20:00,MANHATTAN,10128,40.776237,-73.943825,"(40.776237, -73.943825)",EAST END AVENUE,EAST 88 STREET,0.0,0.0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,TAXI,STATION WAGON/SPORT UTILITY VEHICLE,4485234,12056115,4B9EDB20-26F4-4C6E-95F9-C129A78747F9,OCCUPANT,UNSPECIFIED,20124141.0,37.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2021,MOTORIST
2021-12-08,12:00:00,2021-12-08 12:00:00,MANHATTAN,10011,40.736614,-73.9951,"(40.736614, -73.9951)",,,1.0,0.0,0,0,1,0,0,0,PASSING OR LANE USAGE IMPROPER,UNSPECIFIED,BOX TRUCK,BIKE,4485542,12057143,9D48ABDD-8CAF-4000-8BA9-60B0FB5E4754,OCCUPANT,UNSPECIFIED,20124731.0,,,,,,,,REGISTRANT,,2021,MOTORIST
2021-12-09,10:13:00,2021-12-09 10:13:00,BROOKLYN,11203,40.638523,-73.92607,"(40.638523, -73.92607)",KINGS HIGHWAY,FARRAGUT ROAD,2.0,0.0,0,0,0,0,2,0,TRAFFIC CONTROL DISREGARDED,TRAFFIC CONTROL DISREGARDED,SEDAN,SEDAN,4485090,12055669,F7DCD5CF-6BC7-4A9C-9C22-097D9BAFA307,OCCUPANT,INJURED,20123887.0,6.0,NOT EJECTED,CONSCIOUS,UNKNOWN,"LEFT REAR PASSENGER, OR REAR PASSENGER ON A BICYCLE, MOTORCYCLE, SNOWMOBILE",LAP BELT & HARNESS,WHIPLASH,PASSENGER,F,2021,MOTORIST
2022-03-26,09:30:00,2022-03-26 09:30:00,NONE,,40.804153,-73.91304,"(40.804153, -73.91304)",BRUCKNER BOULEVARD,EAST 137 STREET,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,SEDAN,,4514263,12166453,4C042166-6FA9-46E3-857C-1BBE6F2F6F77,OCCUPANT,UNSPECIFIED,20188186.0,45.0,,,,,,,REGISTRANT,F,2022,MOTORIST
2022-03-26,01:45:00,2022-03-26 01:45:00,MANHATTAN,10065,40.761486,-73.96061,"(40.761486, -73.96061)",EAST 62 STREET,1 AVENUE,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,SEDAN,SEDAN,4513985,12164982,C8DDE3EC-D831-4539-BC06-2545C77A0197,OCCUPANT,UNSPECIFIED,20187363.0,22.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,M,2022,MOTORIST
2022-03-17,08:00:00,2022-03-17 08:00:00,NONE,,40.67794,-73.8023,"(40.67794, -73.8023)",139 STREET,,1.0,0.0,0,0,0,0,1,0,TRAFFIC CONTROL DISREGARDED,UNSPECIFIED,SEDAN,STATION WAGON/SPORT UTILITY VEHICLE,4514412,12166490,5B47D226-5DBE-4E99-BED0-93568D7D17AA,OCCUPANT,UNSPECIFIED,20188210.0,,,,,,,,REGISTRANT,M,2022,MOTORIST
2022-03-26,21:50:00,2022-03-26 21:50:00,NONE,,40.757668,-73.95915,"(40.757668, -73.95915)",FDR DRIVE,,1.0,0.0,0,0,0,0,1,0,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,TAXI,SEDAN,4513626,12163682,57DA13C9-D666-4499-A881-156EAAAEFA1D,OCCUPANT,INJURED,20186552.0,37.0,NOT EJECTED,CONSCIOUS,NECK,RIGHT REAR PASSENGER OR MOTORCYCLE SIDECAR PASSENGER,UNKNOWN,COMPLAINT OF PAIN OR NAUSEA,PASSENGER,F,2022,MOTORIST
2022-03-26,01:58:00,2022-03-26 01:58:00,BRONX,10472,40.82707,-73.87075,"(40.82707, -73.87075)",,,0.0,0.0,0,0,0,0,0,0,TURNING IMPROPERLY,UNSPECIFIED,SEDAN,SEDAN,4514201,12166650,30CE4EFD-1026-4D49-B336-B45E5AF276DD,OCCUPANT,UNSPECIFIED,20188296.0,0.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,PASSENGER,F,2022,MOTORIST
2021-12-03,13:40:00,2021-12-03 13:40:00,NONE,,40.87356,-73.81853,"(40.87356, -73.81853)",HUTCHINSON RIVER PARKWAY,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4485246,12056169,939804DF-4D6A-44D4-9AF7-5A54BE2C2B76,OCCUPANT,UNSPECIFIED,20124161.0,,,,,,,,REGISTRANT,M,2021,MOTORIST
